Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX
X20130911,C03,B,28,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,42,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,72,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,78,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,67,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,62,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,48,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,28,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,23,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,19,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,B,11,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,32,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,57,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,67,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,97,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,108,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,93,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,74,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,51,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,49,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,45,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,C,50,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,54,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,98,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,157,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,166,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,167,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,142,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,115,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,62,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,53,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,48,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,D,11,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,51,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,71,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,101,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,109,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,94,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,84,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,63,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,34,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,31,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,25,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,E,12,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,45,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,80,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,103,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,121,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,142,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,156,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,146,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,125,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,92,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,80,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,F,53,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,30,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,42,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,60,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,65,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,96,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,107,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,113,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,132,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,165,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,175,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,G,211,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,H,18,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,H,31,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
