DS1,DS2,DS3,DS4,DS5,DS6,DS7,BR1
1470.970414,1494.727679,2098.844469,1157.372425,1337.356688,1758.301553,1877.049153,1550.559649
1612.793881,1434.392827,2675.166667,1677.789845,1085.806091,2138.279403,1059.779423,1552.048544
1801.815725,3188.766962,3111.544776,1099.800839,933.5208768,1327.009601,1624.887051,1107.084888
2241.869021,1807.696653,1913.435466,1028.2742,1423.69398,1479.712177,1372.109466,1564.170179
1727.126846,1875.71004,1388.262513,1308.987654,1589.755962,1673.933767,1816.890594,1412.956438
1499.37234,1787.504844,2492.988392,1282.780763,1638.498873,1858.631188,1465.437843,1468.405405
1795.328758,1689.655614,1639.788666,1007.548173,1564.100485,1718.358354,1403.456319,1281.01167
1220.88604,1475.774055,1700.817978,1710.881965,1697.123621,2251.883702,975.9998026,1439.665595
1516.786825,2240.896529,1286.987988,922.4316013,1329.535714,1845.921185,1580.300613,1021.919571
1174.501548,3156.022679,1134.454137,1194.038462,1562.440978,1799.553415,1254.233142,1815.433096
1521.635983,1534.032421,1792.343976,1636.352362,1419.545036,1523.16199,1577.12904,1077.393488
1688.854968,1924.212568,2160.908081,1089.772835,1176.036963,2437.508037,1619.620607,1187.612774
1031.626794,1738.634347,2271.558739,1527.767535,1518.028343,1217.409091,1785.370084,1545.706753
1333.514821,1686.889815,1560.925683,1559.621011,1662.205251,1172.425209,1376.653653,921.297546
1545.149704,1811.027645,1631.865023,1727.755365,1750.075437,1522.06508,1906.386262,1395.978855
1631.606818,1942.604688,1882.29079,1700.690012,1089.479848,1250.894419,1220.774057,1189.516432
2730.583951,2137.740566,1672.213689,1067.146789,1507.520115,1610.821219,1608.090604,1463.754329
2049.550206,2085.323276,2361.640854,1034.372192,1229.536686,1608.709251,1053.909866,1523.181894
1544.534151,1441.46899,1544.005384,1190.741193,1702.626536,1376.025111,1206.779048,1405.503886
1288.162301,1194.293627,2039.11803,1374.264368,1138.21366,2398.639528,1416.658645,1404.360033
2179.385305,1213.979517,1524.343687,1279,1442.68791,1353.202596,1272.619718,1083.182884
1527.311521,1741.197611,2738.384941,1233.101746,1277.510141,1843.805902,1514.270023,1325.841654
1703.149629,1760.44319,1826.202656,1436.22288,1083.872214,1473.943884,2020.190256,1527.018356
1472.562292,2377.641051,1757.461592,1053.18671,2025.984478,1111.613003,1675.112878,928.5666667
1154.177593,1421.103226,1467.008755,1298.077739,889.073193,1513.187661,1557.984763,1623.549618
1619.190718,2126.288862,1764.285714,936.4267327,1136.857692,1551.849351,2243.64557,2112.640729
1606.810084,1573.61893,1936.680359,1073.930842,1134.733133,1344.182139,1137.155542,1259.39967
1907.570629,1560.873621,1410.427502,1067.244409,1077.448391,1557.573947,1378.659149,1226.712054
1954.208393,2502.85636,1592.387755,1414.833441,1306.176345,1310.915241,1610.859742,1334.404494
2019.008348,1892.539474,1436.061364,1592.747797,1784.899946,1513.619617,1527.267585,1766.592506
2098.385933,1282.526144,1413.286045,1057.270314,1403.049446,1458.778846,1944.643722,1366.758085
1567.978668,1404.085279,2559.714869,1325.331034,1417.846527,995.2038505,1452.918919,1280.59719
2339.171542,1491.586123,1276.248904,1320.935855,1149.518477,1133.366006,2203.720425,1523.283934
1943.099634,1452.741456,2504.825792,1269.365613,1639.440714,1262.286521,1349.791272,1322.521222
1451.159248,1108.058824,1929.792135,1416.667842,1494.442373,1371.198481,1819.259016,1433.664376
1457.850114,1386.836806,1378.785106,1835.923469,1416.161622,929.2156863,1690.57182,1245.793501
1010.353794,2218.707335,2058.143734,1590.295498,977.8793274,1371.810061,1598.871681,1476.959805
1638.211997,1846.053862,1424.764606,1273.343182,1907.077749,1445.660041,2262.998175,1492.741697
2135.54902,1309.596372,1552.906398,1028.279129,1253.35014,1101.203024,2202.659103,1431.016504
1556.020294,1554.162769,1631.613806,965.3104702,1065.995128,1566.328032,1315.768302,1217.271695
1404.696119,1971.874887,1543.400078,1688.409426,1207.898868,1443.522703,1409.855615,1099.351682
1273.75134,1279.694915,1841.035088,1032.834255,1154.606133,911.3277311,1591.974522,1050.715078
2294.4828,1298.416,2595.676218,1276.046534,1105.902228,1614.035849,2373.470862,1243.038875
1352.431,1347.986222,1387.276714,1239.736049,1035.412986,1255.29982,1968.365526,1433.165701
1509.504321,1769.508347,1678.948373,1413.919971,1782.008806,1086.931271,1448.340502,1369.707644
