"","Expt","Well","Colony","Cell.count","Time.day","Erl","CHX","FSK","TRM","X17A","SB","An","Cell.line","Plate","ABT","PLX"
"232","BPSKMEL","B07",12,3,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"233","BPSKMEL","B07",12,5,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"234","BPSKMEL","B07",12,12,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"235","BPSKMEL","B07",12,21,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"236","BPSKMEL","B07",12,36,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"237","BPSKMEL","B07",12,67,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"238","BPSKMEL","B07",12,123,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"239","BPSKMEL","B07",12,131,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"240","BPSKMEL","B07",12,165,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"241","BPSKMEL","B07",12,95,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"242","BPSKMEL","B07",12,92,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"243","BPSKMEL","B07",12,96,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"244","BPSKMEL","B07",12,80,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"245","BPSKMEL","B07",12,84,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"246","BPSKMEL","B07",12,63,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"247","BPSKMEL","B07",12,31,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"248","BPSKMEL","B07",12,31,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"249","BPSKMEL","B07",12,37,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"250","BPSKMEL","B07",12,41,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"251","BPSKMEL","B07",12,36,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"252","BPSKMEL","B07",12,33,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"253","BPSKMEL","B08",13,4,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"254","BPSKMEL","B08",13,7,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"255","BPSKMEL","B08",13,11,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"256","BPSKMEL","B08",13,20,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"257","BPSKMEL","B08",13,29,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"258","BPSKMEL","B08",13,51,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"259","BPSKMEL","B08",13,66,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"260","BPSKMEL","B08",13,58,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"261","BPSKMEL","B08",13,59,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"262","BPSKMEL","B08",13,57,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"263","BPSKMEL","B08",13,54,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"264","BPSKMEL","B08",13,43,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
