Well,Colony,CellCount,Time_Day,Erl,SB,An,Cell.line,Plate
B07,G,62,0,3,10,0,PC9.sp,SB.plate
B07,G,108,1,3,10,0,PC9.sp,SB.plate
B07,G,144,2,3,10,0,PC9.sp,SB.plate
B07,G,162,3,3,10,0,PC9.sp,SB.plate
B07,G,132,4,3,10,0,PC9.sp,SB.plate
B07,G,108,5,3,10,0,PC9.sp,SB.plate
B07,G,90,6,3,10,0,PC9.sp,SB.plate
B07,G,23,7,3,10,0,PC9.sp,SB.plate
B07,G,19,8,3,10,0,PC9.sp,SB.plate
B07,G,15,9,3,10,0,PC9.sp,SB.plate
B07,G,10,10,3,10,0,PC9.sp,SB.plate
B07,H,39,0,3,10,0,PC9.sp,SB.plate
B07,H,57,1,3,10,0,PC9.sp,SB.plate
B07,H,91,2,3,10,0,PC9.sp,SB.plate
B07,H,89,3,3,10,0,PC9.sp,SB.plate
B07,H,71,4,3,10,0,PC9.sp,SB.plate
B07,H,49,5,3,10,0,PC9.sp,SB.plate
B07,H,42,6,3,10,0,PC9.sp,SB.plate
B07,H,21,7,3,10,0,PC9.sp,SB.plate
B07,H,13,8,3,10,0,PC9.sp,SB.plate
B07,H,12,9,3,10,0,PC9.sp,SB.plate
B07,H,10,10,3,10,0,PC9.sp,SB.plate
B07,I,39,0,3,10,0,PC9.sp,SB.plate
B07,I,58,1,3,10,0,PC9.sp,SB.plate
B07,I,76,2,3,10,0,PC9.sp,SB.plate
B07,I,82,3,3,10,0,PC9.sp,SB.plate
B07,I,78,4,3,10,0,PC9.sp,SB.plate
B07,I,73,5,3,10,0,PC9.sp,SB.plate
B07,I,68,6,3,10,0,PC9.sp,SB.plate
B07,I,57,7,3,10,0,PC9.sp,SB.plate
B07,I,56,8,3,10,0,PC9.sp,SB.plate
B07,I,44,9,3,10,0,PC9.sp,SB.plate
B07,I,43,10,3,10,0,PC9.sp,SB.plate
B07,J,59,0,3,10,0,PC9.sp,SB.plate
B07,J,124,1,3,10,0,PC9.sp,SB.plate
B07,J,146,2,3,10,0,PC9.sp,SB.plate
B07,J,167,3,3,10,0,PC9.sp,SB.plate
B07,J,173,4,3,10,0,PC9.sp,SB.plate
B07,J,164,5,3,10,0,PC9.sp,SB.plate
B07,J,154,6,3,10,0,PC9.sp,SB.plate
B07,J,162,7,3,10,0,PC9.sp,SB.plate
B07,J,137,8,3,10,0,PC9.sp,SB.plate
B07,J,114,9,3,10,0,PC9.sp,SB.plate
B07,J,90,10,3,10,0,PC9.sp,SB.plate
B07,K,37,0,3,10,0,PC9.sp,SB.plate
B07,K,64,1,3,10,0,PC9.sp,SB.plate
B07,K,78,2,3,10,0,PC9.sp,SB.plate
B07,K,82,3,3,10,0,PC9.sp,SB.plate
B07,K,79,4,3,10,0,PC9.sp,SB.plate
B07,K,78,5,3,10,0,PC9.sp,SB.plate
B07,K,67,6,3,10,0,PC9.sp,SB.plate
B07,K,59,7,3,10,0,PC9.sp,SB.plate
B07,K,53,8,3,10,0,PC9.sp,SB.plate
B07,K,46,9,3,10,0,PC9.sp,SB.plate
B07,K,38,10,3,10,0,PC9.sp,SB.plate
B07,L,21,0,3,10,0,PC9.sp,SB.plate
B07,L,28,1,3,10,0,PC9.sp,SB.plate
B07,L,39,2,3,10,0,PC9.sp,SB.plate
B07,L,55,3,3,10,0,PC9.sp,SB.plate
B07,L,68,4,3,10,0,PC9.sp,SB.plate
B07,L,66,5,3,10,0,PC9.sp,SB.plate
B07,L,50,6,3,10,0,PC9.sp,SB.plate
B07,L,31,7,3,10,0,PC9.sp,SB.plate
B07,L,20,8,3,10,0,PC9.sp,SB.plate
B07,L,15,9,3,10,0,PC9.sp,SB.plate
B07,L,9,10,3,10,0,PC9.sp,SB.plate
B07,M,30,0,3,10,0,PC9.sp,SB.plate
B07,M,37,1,3,10,0,PC9.sp,SB.plate
B07,M,48,2,3,10,0,PC9.sp,SB.plate
B07,M,57,3,3,10,0,PC9.sp,SB.plate
B07,M,54,4,3,10,0,PC9.sp,SB.plate
B07,M,53,5,3,10,0,PC9.sp,SB.plate
B07,M,55,6,3,10,0,PC9.sp,SB.plate
B07,M,44,7,3,10,0,PC9.sp,SB.plate
B07,M,46,8,3,10,0,PC9.sp,SB.plate
B07,M,41,9,3,10,0,PC9.sp,SB.plate
B07,M,33,10,3,10,0,PC9.sp,SB.plate
B07,N,30,0,3,10,0,PC9.sp,SB.plate
B07,N,53,1,3,10,0,PC9.sp,SB.plate
B07,N,86,2,3,10,0,PC9.sp,SB.plate
B07,N,96,3,3,10,0,PC9.sp,SB.plate
B07,N,87,4,3,10,0,PC9.sp,SB.plate
B07,N,60,5,3,10,0,PC9.sp,SB.plate
B07,N,56,6,3,10,0,PC9.sp,SB.plate
B07,N,28,7,3,10,0,PC9.sp,SB.plate
B07,N,27,8,3,10,0,PC9.sp,SB.plate
B07,N,18,9,3,10,0,PC9.sp,SB.plate
B07,N,8,10,3,10,0,PC9.sp,SB.plate
B07,O,42,0,3,10,0,PC9.sp,SB.plate
B07,O,71,1,3,10,0,PC9.sp,SB.plate
B07,O,89,2,3,10,0,PC9.sp,SB.plate
B07,O,118,3,3,10,0,PC9.sp,SB.plate
B07,O,105,4,3,10,0,PC9.sp,SB.plate
B07,O,93,5,3,10,0,PC9.sp,SB.plate
B07,O,80,6,3,10,0,PC9.sp,SB.plate
B07,O,57,7,3,10,0,PC9.sp,SB.plate
B07,O,45,8,3,10,0,PC9.sp,SB.plate
B07,O,39,9,3,10,0,PC9.sp,SB.plate
B07,O,36,10,3,10,0,PC9.sp,SB.plate
B07,P,26,0,3,10,0,PC9.sp,SB.plate
B07,P,40,1,3,10,0,PC9.sp,SB.plate
B07,P,55,2,3,10,0,PC9.sp,SB.plate
B07,P,56,3,3,10,0,PC9.sp,SB.plate
B07,P,55,4,3,10,0,PC9.sp,SB.plate
B07,P,61,5,3,10,0,PC9.sp,SB.plate
B07,P,50,6,3,10,0,PC9.sp,SB.plate
B07,P,39,7,3,10,0,PC9.sp,SB.plate
B07,P,38,8,3,10,0,PC9.sp,SB.plate
B07,P,36,9,3,10,0,PC9.sp,SB.plate
B07,P,32,10,3,10,0,PC9.sp,SB.plate
B07,Q,31,0,3,10,0,PC9.sp,SB.plate
B07,Q,74,1,3,10,0,PC9.sp,SB.plate
B07,Q,92,2,3,10,0,PC9.sp,SB.plate
B07,Q,100,3,3,10,0,PC9.sp,SB.plate
B07,Q,103,4,3,10,0,PC9.sp,SB.plate
B07,Q,98,5,3,10,0,PC9.sp,SB.plate
B07,Q,87,6,3,10,0,PC9.sp,SB.plate
B07,Q,74,7,3,10,0,PC9.sp,SB.plate
B07,Q,70,8,3,10,0,PC9.sp,SB.plate
B07,Q,69,9,3,10,0,PC9.sp,SB.plate
B07,Q,58,10,3,10,0,PC9.sp,SB.plate
B08,A,35,0,3,10,0,PC9.sp,SB.plate
B08,A,72,1,3,10,0,PC9.sp,SB.plate
B08,A,96,2,3,10,0,PC9.sp,SB.plate
B08,A,91,3,3,10,0,PC9.sp,SB.plate
B08,A,76,4,3,10,0,PC9.sp,SB.plate
B08,A,78,5,3,10,0,PC9.sp,SB.plate
B08,A,71,6,3,10,0,PC9.sp,SB.plate
B08,A,49,7,3,10,0,PC9.sp,SB.plate
B08,A,51,8,3,10,0,PC9.sp,SB.plate
B08,A,53,9,3,10,0,PC9.sp,SB.plate
B08,A,46,10,3,10,0,PC9.sp,SB.plate
B08,B,25,0,3,10,0,PC9.sp,SB.plate
B08,B,48,1,3,10,0,PC9.sp,SB.plate
B08,B,57,2,3,10,0,PC9.sp,SB.plate
B08,B,55,3,3,10,0,PC9.sp,SB.plate
B08,B,65,4,3,10,0,PC9.sp,SB.plate
B08,B,56,5,3,10,0,PC9.sp,SB.plate
B08,B,40,6,3,10,0,PC9.sp,SB.plate
B08,B,23,7,3,10,0,PC9.sp,SB.plate
B08,B,18,8,3,10,0,PC9.sp,SB.plate
B08,B,16,9,3,10,0,PC9.sp,SB.plate
B08,B,5,10,3,10,0,PC9.sp,SB.plate
B08,C,32,0,3,10,0,PC9.sp,SB.plate
B08,C,39,1,3,10,0,PC9.sp,SB.plate
B08,C,50,2,3,10,0,PC9.sp,SB.plate
B08,C,56,3,3,10,0,PC9.sp,SB.plate
B08,C,54,4,3,10,0,PC9.sp,SB.plate
B08,C,54,5,3,10,0,PC9.sp,SB.plate
B08,C,62,6,3,10,0,PC9.sp,SB.plate
B08,C,57,7,3,10,0,PC9.sp,SB.plate
B08,C,44,8,3,10,0,PC9.sp,SB.plate
B08,C,44,9,3,10,0,PC9.sp,SB.plate
B08,C,36,10,3,10,0,PC9.sp,SB.plate
B08,D,49,0,3,10,0,PC9.sp,SB.plate
B08,D,86,1,3,10,0,PC9.sp,SB.plate
B08,D,124,2,3,10,0,PC9.sp,SB.plate
B08,D,116,3,3,10,0,PC9.sp,SB.plate
B08,D,99,4,3,10,0,PC9.sp,SB.plate
