Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX,Pre.well
BPSKMEL,XX,8,223,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day16
BPSKMEL,XX,8,258,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day17
BPSKMEL,XX,8,258,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day18
BPSKMEL,XX,8,265,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day19
BPSKMEL,XX,8,248,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day20
BPSKMEL,XX,9,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day0
BPSKMEL,XX,9,4,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day1
BPSKMEL,XX,9,16,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day2
BPSKMEL,XX,9,24,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day3
BPSKMEL,XX,9,59,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day4
BPSKMEL,XX,9,93,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day5
BPSKMEL,XX,9,176,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day6
BPSKMEL,XX,9,142,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day7
BPSKMEL,XX,9,181,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day8
BPSKMEL,XX,9,133,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day9
BPSKMEL,XX,9,97,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day10
BPSKMEL,XX,9,126,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day11
BPSKMEL,XX,9,125,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day12
BPSKMEL,XX,9,109,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day13
